Min Diameter (mm),Max Diameter (mm),Upper Deviation (µm),Lower Deviation (µm)
0.0,0.6,0,-40
0.6,2.5,0,-40
2.5,10.0,0,-120
10.0,18.0,0,-120
18.0,30.0,0,-120
30.0,50.0,0,-120
50.0,80.0,0,-150
80.0,120.0,0,-200
120.0,180.0,0,-250
180.0,250.0,0,-300
250.0,315.0,0,-350
315.0,400.0,0,-400
400.0,500.0,0,-450
500.0,630.0,0,-500
